Genus.Species,Caste,Image CASENT,Weber's length_1,Weber's length_2,Weber's length_error_rate,Head width_1,Head width_2,Head_width_error_rate,Scape length,Mandible length_1,Mandible length_2,Mandible length_error_rate,Eye length_1,Eye length_2,Eye length_error_rate
Anochetus.mayri,worker,casent0010834,1.112,1.111,0.001,0.743,0.753,-0.013,,0.453,0.456,-0.007,0.080,0.087,-0.087
Aphaenogaster.ashmeadi,worker,casent0103560,2.052,2.064,-0.006,0.994,1.000,-0.006,,0.298,0.291,0.023,0.240,0.245,-0.021
Aphaenogaster.carolinensis,worker,casent0103574,1.485,1.503,-0.012,0.774,0.778,-0.005,,0.225,0.232,-0.031,0.224,0.227,-0.013
Aphaenogaster.flemingi,worker,casent0103579,1.918,1.911,0.004,0.896,0.894,0.002,,0.303,0.301,0.007,0.230,0.231,-0.004
Aphaenogaster.floridana,worker,casent0103583,2.021,2.018,0.001,1.017,1.023,-0.006,,0.321,0.315,0.019,0.291,0.295,-0.014
Aphaenogaster.fulva,worker,casent0103585,1.674,1.667,0.004,1.090,1.084,0.006,,0.240,0.245,-0.021,0.243,0.238,0.021
Aphaenogaster.lamellidens,worker,casent0103589,2.160,2.181,-0.010,1.158,1.165,-0.006,,0.320,0.322,-0.006,0.251,0.261,-0.040
Aphaenogaster.mariae,worker,casent0103599,1.407,1.424,-0.012,0.837,0.825,0.014,,0.236,0.235,0.004,0.184,0.191,-0.038
Aphaenogaster.carolinensis,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Aphaenogaster.rudis ,worker,casent0104843,1.666,1.676,-0.006,0.958,0.952,0.006,,0.242,0.237,0.021,0.225,0.228,-0.013
Aphaenogaster.tennesseensis,worker,casent0103600,1.765,1.770,-0.003,1.096,1.108,-0.011,,0.283,0.276,0.025,0.229,0.226,0.013
Aphaenogaster.treatae,worker,casent0914485,2.235,2.227,0.004,1.113,1.113,0.000,,0.361,0.359,0.006,0.277,0.276,0.004
Aphaenogaster.umphreyi,worker,casent0103612,1.704,1.697,0.004,0.987,0.984,0.003,,0.287,0.295,-0.028,0.165,0.165,0.000
Brachymyrmex.depilis,worker,MCZ-ENT00672722,0.405,0.407,-0.005,0.375,0.373,0.005,,0.062,0.062,0.000,0.082,0.083,-0.012
Brachymyrmex.depilis_cf,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Brachymyrmex.minutus,worker,casent0602037,0.379,0.381,-0.005,0.316,0.315,0.003,,0.038,0.037,0.026,0.088,0.088,0.000
Brachymyrmex.obscurior,worker,casent0219802,0.437,0.443,-0.014,0.409,0.415,-0.015,,0.067,0.068,-0.015,0.100,0.103,-0.030
Brachymyrmex.patagonicus,worker,casent0915987,0.492,0.489,0.006,0.412,0.412,0.000,,0.023,0.022,0.043,0.136,0.137,-0.007
Brachymyrmex.sp,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Camponotus.americanus (minor),minor,casent0280005,3.062,3.024,0.012,1.308,1.305,0.002,,0.222,0.217,0.023,0.470,0.463,0.015
Camponotus.americanus (major),major,casent0911613,3.889,3.889,0.000,2.700,2.686,0.005,,0.239,0.234,0.021,0.628,0.630,-0.003
Camponotus.caryae (minor),minor,casent0103652,2.301,2.292,0.004,1.526,1.526,0.000,,0.349,0.352,-0.009,0.378,0.382,-0.011
Camponotus.castaneus (minor),minor,casent0103654,3.296,3.270,0.008,1.544,1.541,0.002,,0.316,0.321,-0.016,0.534,0.537,-0.006
Camponotus.castaneus (major),major,casent0172603,3.445,3.474,-0.008,1.848,1.848,0.000,,0.298,0.291,0.023,0.505,0.500,0.010
Camponotus.decipiens (minor),minor,casent0103667,2.016,2.012,0.002,1.077,1.069,0.007,,0.213,0.214,-0.005,0.328,0.331,-0.009
Camponotus.decipiens (major),major,casent0249368,2.893,2.909,-0.006,2.294,2.294,0.000,,0.434,0.431,0.007,0.496,0.492,0.008
Camponotus.discolor (major),major,casent0103670,2.371,2.394,-0.010,1.789,1.786,0.002,,0.263,0.269,-0.023,0.437,0.439,-0.005
Camponotus.floridanus (minor),minor,fmnhins0000062856,2.776,2.725,0.018,1.333,1.319,0.011,,0.319,0.317,0.006,0.450,0.435,0.033
Camponotus.floridanus (major),major,casent0104894,3.707,3.719,-0.003,3.082,3.071,0.004,,0.451,0.441,0.022,0.617,0.620,-0.005
Camponotus.nearcticus (minor),minor,casent0103685,1.712,1.724,-0.007,1.004,1.011,-0.007,,0.098,0.102,-0.041,0.311,0.310,0.003
Camponotus.nearcticus (major),major,casent0103689,2.522,2.533,-0.004,1.514,1.509,0.003,,0.224,0.224,0.000,0.403,0.403,0.000
Camponotus.novogranadensis (minor),minor,casent0173434,1.382,1.390,-0.006,1.075,1.065,0.009,,0.122,0.121,0.008,0.341,0.340,0.003
Camponotus.novogranadensis (major),major,casent0280071,2.273,2.273,0.000,1.839,1.839,0.000,,0.377,0.378,-0.003,0.412,0.411,0.002
Camponotus.pennsylvanicus (minor)  ,minor,casent0179608,2.933,2.956,-0.008,1.862,1.855,0.004,,0.249,0.245,0.016,0.521,0.521,0.000
Camponotus.pennsylvanicus (major),major,casent0103694,3.986,3.976,0.003,2.958,2.944,0.005,,0.479,0.477,0.004,0.567,0.570,-0.005
Camponotus.planatus (minor),minor,casent0103700,1.346,1.352,-0.004,0.886,0.888,-0.002,,0.099,0.097,0.020,0.307,0.305,0.007
Camponotus.planatus (major),major,casent0246647,2.011,2.013,-0.001,1.814,1.814,0.000,,0.165,0.166,-0.006,0.437,0.438,-0.002
Camponotus.sexguttatus (minor),minor,casent0249405,1.871,1.870,0.001,0.831,0.833,-0.002,,0.125,0.123,0.016,0.344,0.339,0.015
Camponotus.sexguttatus (major),major,casent0246661,1.994,2.000,-0.003,1.337,1.379,-0.031,,0.180,0.172,0.044,0.403,0.404,-0.002
Camponotus.snellingi (minor),minor,casent0103732,2.141,2.136,0.002,1.207,1.212,-0.004,,0.232,0.234,-0.009,0.316,0.317,-0.003
Camponotus.snellingi (major),major,casent0103730,2.772,2.770,0.001,1.703,1.703,0.000,,0.341,0.340,0.003,0.351,0.362,-0.031
Camponotus.socius (minor),minor,casent0103712,3.818,3.794,0.006,1.586,1.583,0.002,,0.280,0.292,-0.043,0.504,0.502,0.004
Camponotus.socius (major),major,casent0103711,4.412,4.423,-0.002,3.051,3.051,0.000,,0.508,0.531,-0.045,0.626,0.621,0.008
Cardiocondyla.emeryi,worker,casent0005964,0.512,0.528,-0.031,0.342,0.338,0.012,,0.034,0.035,-0.029,0.090,0.084,0.067
Cardiocondyla.mauritanica,worker,casent0005678,0.685,0.695,-0.015,0.470,0.470,0.000,,0.113,0.110,0.027,0.125,0.124,0.008
Cardiocondyla.minutior,worker,casent0171077,0.515,0.501,0.027,0.336,0.335,0.003,,0.054,0.050,0.074,0.089,0.089,0.000
Cardiocondyla.obscurior,worker,casent0103430,0.508,0.513,-0.010,0.345,0.344,0.003,,0.054,0.054,0.000,0.085,0.087,-0.024
Cardiocondyla.venustula,worker,casent0103747,0.652,0.664,-0.018,0.435,0.434,0.002,,0.067,0.069,-0.030,0.113,0.110,0.027
Cardiocondyla.wroughtonii,worker,casent0102969,0.461,0.468,-0.015,0.343,0.339,0.012,,0.050,0.048,0.040,0.095,0.093,0.021
Cephalotes.varians (minor),minor,casent0103759,1.056,1.053,0.003,1.078,1.086,-0.007,,0.132,0.134,-0.015,0.185,0.189,-0.022
Cephalotes.varians (major),major,casent0103758,1.634,1.642,-0.005,1.675,1.672,0.002,,not possible,not possible,#VALUE!,0.306,0.299,0.023
Colobopsis.impressa,worker,casent0103678,1.382,1.381,0.001,1.069,1.070,-0.001,,0.085,0.076,0.106,0.268,0.270,-0.007
Colobopsis.obliquus,worker,casent0103723,1.055,1.061,-0.006,0.738,0.743,-0.007,,0.068,0.066,0.029,0.228,0.230,-0.009
Colobopsis.riehlii,worker,fmnhins0000088669,1.145,1.149,-0.003,0.855,0.852,0.004,,0.064,0.074,-0.156,0.232,0.239,-0.030
Crematogaster.ashmeadi,worker,ent00669688,0.853,0.874,-0.025,0.764,0.770,-0.008,,0.107,0.111,-0.037,0.174,0.182,-0.046
Crematogaster.atkinsoni,worker,casent0103770,0.985,0.985,0.000,0.956,0.944,0.013,,0.104,0.102,0.019,0.207,0.210,-0.014
Crematogaster.cerasi,worker,casent0922725,1.142,1.140,0.002,0.990,0.996,-0.006,,0.132,0.127,0.038,0.213,0.219,-0.028
Crematogaster.lineolata,worker,casent0103781,0.891,0.899,-0.009,0.796,0.793,0.004,,0.103,0.098,0.049,0.187,0.191,-0.021
Crematogaster.minutissima,worker,fmnhins0000047839,0.592,0.605,-0.022,0.474,0.466,0.017,,0.066,0.067,-0.015,0.138,0.136,0.014
Crematogaster.missuriensis,worker,casent0102833,0.570,0.568,0.004,0.491,0.484,0.014,,0.017,0.019,-0.118,0.162,0.160,0.012
Crematogaster.obscurata,worker,casent0914637,0.792,0.787,0.006,0.619,0.622,-0.005,,0.077,0.079,-0.026,0.175,0.177,-0.011
Crematogaster.pilosa,worker,casent0103806,1.001,0.992,0.009,0.940,0.933,0.007,,0.102,0.101,0.010,0.216,0.220,-0.019
Crematogaster.pinicola,worker,casent0172943,0.821,0.829,-0.010,0.832,0.831,0.001,,0.107,0.106,0.009,0.159,0.165,-0.038
Crematogaster.vermiculata,worker,casent0005673,1.097,1.110,-0.012,0.954,0.949,0.005,,0.091,0.085,0.066,0.250,0.258,-0.032
Cryptopone.gilva,worker,casent0260410,1.062,1.062,0.000,0.699,0.679,0.029,,0.272,0.268,0.015,0.035,0.033,0.057
